,Name,text
2411,Hunter Mountain, combine baileys and frangelico over ice and stir add vodka stir again and serve     irish cream    hazelnut liqueur    vodka
2412,Hypno Fusion, fill a highball glass with ice add hpnotiq liquer and fill with sprite add a splash of grenadine stir and serve     tropicalfruit liqueur    lemonade   splashs grenadine syrup
2413,Hot P*ssy, add all ingredients to a cocktail shaker halffilled with ice cubes shake well strain into a cocktail glass and serve     cinnamon schnapps   drops tabasco sauce    passionfruit liqueur
2414,Hard in the Paint, combine ingredients in a rocks glass stir     brandy    passionfruit liqueur    cherry cordial
2415,Headless Californian, pour vodka into a collins glass and add ice dash with bitters fill with equal parts ginger ale and orange juice decorate with slice of orange and serve     vodka   dashs bitters  ginger ale  orange juice
2416,Hilty Dilty, shake ingredients together with crushed ice in a cocktail shaker strain into a cocktail glass and serve     apricot brandy    lime juice    grenadine syrup
2417,Hawaiian Sunset, place ice cubes into the glass shake vodka orange juice and cranberry juice in a shaker pour into glass top off with soda water garnish with cherry and pineapple slice optional     vodka    cranberry juice    orange juice    soda water
2418,Hop Toad, stir all ingredients with ice strain into a cocktail glass and serve     apricot brandy    white rum   juice of lime
2419,Hawaiian Cherry Popper, pour all ingredients into a collins glass  filled with ice cubes stir well garnish with a slice of pineapple add an umbrella and serve      coconut rum    cherry cola    apple juice    citrus soda
2420,Adrienne`s Dream, add everything except soda and mint to a cocktail shaker with ice and shake well strain into collins glass over ice and top with club soda serve with a mint sprig as garnish     brandy    white creme de cacao   peppermint schnapps    club soda    lemon juice   tsp sugar
2421,Hard Lemon Ice, combine lemonade and vodka with ice in a blender blend until slurpee consistency and pour into collins glasses topped with a touch of raspberry syrup    litres lemonade   cupss vodka   tsp raspberry puree
2422,Headcrack, stir well with ice and a spoon     brandy    coffee liqueur  fill with milk
2423,Hawaiian Punch 2, stir together in a collins glass filled with ice cubes and serve     triple sec    cherry brandy   splashs grenadine syrup    lemonade
2424,Hula-Hula Cocktail, combine ingredients in a cocktail shaker with ice shake well and strain into a cocktail glass     gin    orange juice   tsp sugar
2425,Hot Whiskey Punch, peel and slice the lemons place the peel into a large nonreactive saucepan add sugar cinnamon sticks cloves and  cups of water set over a mediumhigh heat and stir frequently to dissolve the sugar allow the water to reach the boil then turn heat    litres blended whiskey   cupss sugar   lemon   cloves   cinnamon sugar
2426,Heat of the Heart, pour all ingredients into a cocktail shaker halffilled with ice cubes shake well and strain into a highball glass float some extra cointreau on top garnish with blackberries and a twist of orange peel and serve     vodka    blackcurrant liqueur    dry vermouth   dashs orange liqueur
2427,Heart Warmer, build over ice in an oldfasioned glass     vodka    coffee liqueur   vanilla extract    milk
2428,Hawaiian Seduction, pour all ingredients into a collins glass filled with ice cubes stir well and serve     tequila    vodka    lime juice
2429,Hot Lesbian, add ingredients to a cocktail shaker halffilled with ice cubes shake and strain into a large cocktail glass over crushed ice serve     vodka    triple sec    coffee liqueur   splashs pepper soda
2430,Hula Hoop, pour gin orange juice and juice  pinejuice  apple juice into a cocktail shaker halffilled with ice cubes shake well strain into a cocktail glass and serve     gin    orange juice   apple juice
2431,Alabama, put everything into shaker with ice shake and strain into chilled cocktail glass     brandy    blue curacao liqueur   lime juice   tsp sugar syrup
2432,Hot Gold, pour orange juice into a red wine glass and add amaretto garnish with the stick of cinnamon as a stirrer and serve     almond liqueur    orange juice   cinnamon sugar
2433,High Roller, shake grand marnier vodka and orange juice in a cocktail shaker filled with ice strain into an old fashioned glass with ice top with a few drops of grenadine     vodka    orange liqueur   drops grenadine syrup    orange juice
2434,Honey Nuts, shake the advocaat kahlua coffee liqueur frangelico hazelnut liqueur and honey in a cocktail shaker halffilled with ice cubes strain into a cocktail glass top with whipped cream garnish with strawberries andor cocoa and serve     advocaat liqueur    coffee liqueur    hazelnut liqueur    honey    whipped cream
2435,Honey Drop, fill old fashioned glass full with ice add melon liqueur and blue cuacao add shot of margarita mix and fill rest of glass with lemonade     melon liqueur    blue curacao liqueur    lemonade    margarita mix
2436,Honey Bee Cocktail, pour the rum honey and lemon juice into a cocktail shaker halffilled with ice cubes shake well strain into a cocktail glass and serve     dark rum    honey   lemon juice
2437,Hot Chocolate Butternut, add schnapps and amaretto to a coffee mug fill with hot chocolate and top with whipped cream     almond liqueur    butterscotch schnapps      hot chocolate      whipped cream
2438,Hot Chocolate Sin, prepare hot chocolate in a coffee mug then add in a shot of rumple minze to give a nice minty flavor     peppermint liqueur    hot chocolate
2439,Henry Morgan`s Grog, shake all liquors and cream in a cocktail shaker with cracked ice strain into a chilled old fashioned glass and sprinkle the nutmeg on top     licorice liqueur    dark rum    blended whiskey    cream   pinchs nutmeg
2440,Hennessy Martini, pour hennessy cognac into a cocktail shaker with ice add a squeeze of a lemon wedge and stir together strain into a chilled martini cocktail glass garnish with lemon peel and serve     brandy   tsp lemon juice
2441,Hot Port Flip, warm port on the stove with in a saucepan be careful not to let it boil whisk the egg with sugar in a bowl and blend in 2 of cream pour the mixture into the saucepan with the port stirring constantly serve in a warmed mug and sprinkle with nutmeg     red port    cream   pinchs nutmeg   tsp sugar   egg
2442,After Glo, build over ice in a rocks glass     tequila liqueur    ginger ale    apple juice
2443,Hawaiian Island Sunset, build in highball glass filled with ice stir and enjoy     almond liqueur    coconut rum    mango rum    peach schnapps   dashs grenadine syrup    lemonade      apple juice
2444,Hawaiian Surfer, shake ingredients in a cocktail shaker with ice strain into glass over ice     coconut rum    almond liqueur    lemonade    apple juice    sours
2445,High Octane Green Summer, pour coconut rum over  ice cubes add chilled mdx and enjoy     coconut rum    energy soda
2446,Honey Bunny, pour all ingredients into a highball glass  filled with ice cubes stir well and serve     vodka    blue curacao liqueur    peach schnapps    sours    pear cider   lemonade    lemon juice
2447,Hoss`s Holdup, pour all ingredients into a cocktail shaker halffilled with ice cubes shake strain into a highball glass almostfilled with ice cubes and serve     vodka    orange liqueur    orange juice   tsp grenadine syrup
2448,Haywire, serve over ice regular up and amaretto can be used if cherry up is not available garnish with an orange slice and cherry serve with a straw    parts lemon rum   parts cherry soda
2449,Hot Apple Pie 5, bring  gallon juice  apple juice and  gallon apple cider to a boil on the stove after its boiling add one cup sugar and  liter bottle of absolute vodka remove from heat put back into  gallon jugs and place in fridge to cool after it cools ser    gallons apple juice   gallons apple soda   cupss sugar   litres vodka
2450,Haus Special, serve cold with or without ice garnish with a cherry     blackberry schnapps   glasss cranberry juice  fill with grape juice  ice
2451,Harlem World Seven, mix over ice cubes pour into a suitable glass and consume immediately note it might taste funny because of the prune juice but you should get an effect out of it     vodka    blackcurrant vodka   tsp lemon juice   pints prune juice   qt black sambuca  fill with gin
2452,Anyie on the Beach, pour the vodka triple sec and schnapps  peach schnapps into a collins glass halffilled with ice cubes fill halfway with club soda garnish with a cherry and serve     vodka    triple sec    peach schnapps    club soda
2453,Hot Brick Toddy, add the cinnamon powdered sugar and butter to an irish coffee cupmug pour a single ounce of boiling water and stir to dissolve thoroughly add whiskey fill with boiling water stir again and serve     whiskey    hot water   pinchs cinnamon sugar   tsp superfine sugar   tsp butter
2454,Hot Tea Toddy, heat everything in a saucepan until it is steaming do not boil pour into a prewarmed mug use a large piece of candied ginger for garnish     gold rum   cupss tea  hot   pinchs cinnamon sugar   ginger   slices lemon   tsp honey
2455,Hot Tub, pour cranberry juice over ice in a tall glass add the grand marnier absolut champagne and chambord garnish with a cherry and serve     orange liqueur    vodka    champagne    raspberry liqueur    cranberry juice
2456,Hot Buttered Rum Batter 3, combine sugars butter ice cream and spices blend until smooth place batter in the freezer store in freezer for up to one month for each serving fill onequarter of a mug wbatter add one ounce rum and threequarters of a cup of boiling water o    gallons ice cream   cupss sugar   cupss brown sugar   cups butter   tsp cinnamon sugar   tsp nutmeg   tsp allspice
2457,Hot Carl 2, stir ingredients together with a couple ice cubes in a highball glass and serve     bourbon whiskey    mango juice
2458,Hot Mollifier, pour the rum tia maria and coffee into an irish coffee glass and stir well pour the cream carefully over the back of a teaspoon so that it floats on top of the drink and serve     dark rum    coffee liqueur    hot coffee    cream
2459,Hell`s Kitchen, pour both ingredients into an oldfashioned glass over ice cubes stir well and serve     irish whiskey    irish cream
2460,Hot and Creamy, combine the ice and liquors in a blender until the ice is well crushed add halfandhalf and serve in an  margarita glass     cinnamon schnapps    vodka    halfandhalf    ice
2461,Hell on Earth, pour both ingredients into a highball glass filled with ice cubes stir well and serve     op rum    lemonade
2462,HeadSpinner, pour schnapps  peach schnapps into a collins glass filled with ice fill with sprite or up and serve     peach schnapps      lemonade
2463,Agave Suave, shake ingredients in a cocktail shaker with ice strain into glass    dashs licorice liqueur    gold tequila    apple juice    orange juice   tbsp orgeat syrup
2464,Hawaiian Russian, stir ingredients together in a highball glass filled with ice cubes and serve     vodka    fruit punch    apple juice    lemonade
2465,Heliuva Rootbeer, pour into a glass and serve     spiced rum    root beer  fill with ice
2466,Hunter Cocktail, stir ingredients together with cracked ice in a mixing glass strain into a cocktail glass and serve    rye whiskey    cherry brandy
2467,Hokie, mix ingredients in a beer mug garnish with a lemon wedge    gin    sours    bitter beer
2468,Hendershlager, pour over ice in a highball glass and serve     canadian whisky    herbal liqueur    cinnamon schnapps    energy soda
2469,Hawaiian Eye, combine ingredients with a bit of cracked ice in a blender blend until smooth pour into a chilled tumbler and garnish with a pineapple wedge and a cherry     bourbon whiskey    vodka   banana liqueur    coffee liqueur   tsp licorice liqueur   cream   egg
2470,Hawaiian Cocktail, shake all ingredients with ice strain into a cocktail glass and serve    gin    triple sec   tbsp apple juice
2471,Hawaiian Parrot, pour the coconut rum into a highball glass filled with ice cubes fill the glass with equal parts of hawaiian punch and sprite soda stir and serve     coconut rum    fruit punch    lemonade
2472,Hawaiian Dream, pour the maui blue hawaiian schnapps vodka and rum into a  glass filled with ice cubes fill with fresh chilled juice  pinejuice  apple juice stir briefly and serve     exoticfruit liqueur    vodka    pineapple rum    apple juice
2473,Hot Buttered Comfort, stir the southern comfort and hot water together in a coffee mug float butter on top garnish with a cinnamon stick and a slice of lemon and serve      peach liqueur    hot water   tsp butter
2474,Afternoon Delight, add all ingredients except ginger ale to a pitcher add ice cover and shake add ginger ale and stir chill and serve over ice in plastic beer cups     op rum    peach liqueur    cranberry juice    energy soda    ginger ale
2475,Harm`s Way, shake all of the ingredients except the grenadine and strain into a collins glass full of ice dribble the grenadine over the top give it all a halfstir and enjoy    tbsp aquavit    benedictine herbal liqueur    bourbon whiskey   tsp licorice liqueur   tsp lime juice   tbsp dark rum    apple juice   tbsp grenadine syrup
2476,Hennessy and Cherry Coke, pour the hennessy cognac into a collins or other tall glass  filled with ice cubes add cherry coke stir lightly and serve    brandy   cherry cola
2477,Hennessy and Coke, pour hennessy cognac into a large collins glass filled with ice add cocacola stir lightly and serve     brandy    cola
2478,Hennessy and Vanilla Coke, pour the hennessy cognac into a collins or other tall glass  filled with ice cubes add vanilla coke stir lightly and serve    brandy   vanilla cola
2479,Hot Rum Chocolate, combine rum and cocoa in an irish coffee cup and sweeten to taste top with cream sprinkle with grated chocolate and serve     dark rum    cocoa powder   tbsp whipped cream   tsp sugar
2480,Hpnotiq Breeze 2, combine all ingrdients into a cocktail shaker halffilled with ice cubes shake well strain into a cocktail glass and serve     tropicalfruit liqueur    passionfruit liqueur   splashs apple juice
2481,Hpnotiq Breeze, pour ingredients into a cocktail shaker and shake strain over ice into a whiskey sour glass and serve     tropicalfruit liqueur    coconut rum    apple juice
2482,Hail Queen Candace, build over ice starting with vodka triple sec and fill with cranberry juice then the sour raspberry pucker garnish with a lime wedge and straw      vodka    raspberry schnapps   triple sec    cranberry juice
2483,Hummingbird, mix all ingredients in a blender until smooth     bannanas    coconut cream    creme de bananes    rum    coffee liqueur    strawberries  crushed ice
2484,Hummer, blend all ingredients in an electric blender at a low speed for a short length of time pour into a highball glass and serve     coffee liqueur    white rum   scoops ice cream
2485,Amalyzer, shake the amarula cream vodka and coffee liqueur together in a cocktail shaker strain into a cocktail glass top up with cola and serve     amarula cream liqueur    vodka   coffee liqueur    cola
2486,Hard Rootbeer, mix desired amount of captain morgan i prefer  shots and one   ibc root beer over ice goes down smooth   root beer  spiced rum
2487,H-Bomb Cocktail, combine all ingredients in a cocktail shaker halffilled with ice cubes shake well and strain into a collins glass filled with ice cubes garnish with a maraschino cherry and serve     vodka    tequila    rum    gin    triple sec   sours    tropicalfruit liqueur
2488,Hpnotiq Long Island Ice Tea, shake all ingredients in a cocktail shaker halffilled with ice cubes pour into a collins glass incl ice and serve     vodka    rum    tequila    gin    triple sec   sours    lemonade    tropicalfruit liqueur
2489,Happy Monkey, pour ingredients over ice in an oldfashioned glass vodka first and sprite last serve     vodka    banana schnapps    lemonade
2490,Hard Strawberry Lemonade, place all ingredients in a blender with one cup of ice blend at the highest setting serve in a hurricane glass with a straw and garnish with lemon andor strawberry make sure if you dont get la paz strawberry margarita mix that you get a margarita     lemonade    strawberry margarita mix    sweet and sour mix    coconut rum    vodka
2491,Honey Liquor, dissolve honey in hot water the water should not be hotter than  degrees celsius let the mixture cool down then add spirit of wine alcohol you may exchange the spirit of wine with spirits like whisky brandy or a similar strong liquor to get    g honey   litres water   litres alcohol
2492,Happy Colada, shake all ingredients with ice in a cocktail shaker strain into a collins glass  filled with ice and serve     coconut rum    blue curacao liqueur    apple juice
2493,Hawaiian Shoreline, mix juice and rum then add curacao and let it sink to the bottom     coconut rum    blue curacao liqueur    apple juice
2494,Homemade Coquito Bueno, combine all ingredients in a blender and blend well store in glass bottles and place in refrigerator    cans coconut cream   cans evaporated milk   cans condensed milk   tsp vanilla extract   egg   gallon ice cream  cinnamon sugar   litres white rum
2495,Hot Hopper, mix spirits in mug or coffee glass add hot chocolate and top with whipped cream and mint leaf     white creme de menthe    white creme de cacao   irish cream  hot chocolate
2496,Adult Hot Chocolate, warm your mug first it makes the drink stay warmer longer put the schnapps into your mug and fill it with hot chocolate top with whipped cream and chocolate shavings are good too     peppermint schnapps    hot chocolate      whipped cream
2497,Amaretto Chi-City, mix amaretto di saronno in equal parts with eandj or if u choose a bit more eandj mix to your taste with sweet and sour mix in a shaker add ice and shake well pour into your favorite glass and watch for the hook  its real slow and tasty     almond liqueur    brandy    sours
2498,Hard Goya, mix both alcohols together in a tallg lass slowly pour the peach nectar in stir and add the lime juice serve     vodka    peach schnapps    peach nectar   drops lime juice
2499,Hot Summer Breeze, soak several slices of habanero pepper in the bottle of vodka for  months before using it will give you that feeling of a summer hot breeze     vodka    orange juice    ginger ale
2500,Hot Buttered Rum Batter, blend all ingredients in a food processer or mixer and store in the fridge or freezer to make a drink add a shot of good dark rum along with  or  tbl spoons of batter to a mug of very hot water serve in irish coffee cup    lb brown sugar   butter   tsp nutmeg   tsp cinnamon sugar   tsp cloves   tsp cardamom   tsp vanilla
2501,Hot Nils, stir ingredients together in a punch bowl withwithout ice and serve serves     cupss apple wine   litres blue raspberry vodka   cupss grain alcohol   litres fruit punch
2502,Hot Buttered Rum Batter 2, blend all ingredients in a food processer or mixer and store in the fridge or freezer to make a drink add a shot of good dark rum along with  or  tbl spoons of batter to a mug of very hot water serve in irish coffee cup    cupss brown sugar   cupss sugar   lb butter   pints ice cream
2503,Hpnotizer, pour hpnotiq first followed by the grey goose vodka over ice into a highball glass fill with cranberry juice shake once and enjoy     tropicalfruit liqueur    vodka     cranberry juice
2504,Hard Root Beer, combine captain morgan rum  spiced rum with ibc root beer over ice in a collins or tall glass stir and serve     root beer    spiced rum
2505,Harry Lime, coat lime in sugar and drop into chilled vodka in an oldfashioned glass     vodka   lime   tbsp sugar
2506,Hot Throbbing Banana, pour all ingredients into an oldfashioned glass filled with ice cubes garnish with a steess maraschino cherry and serve     vodka    orange liqueur    almond liqueur    coffee liqueur    irish cream    banana liqueur
2507,Hunka Hunka Burnin Luv, pour all ingredients into a glass larger than   put a lid over the glass shake vigorously for  seconds     vodka    water   tbsp koolaid
2508,Amaretto Cola, put some ice into a glass and pour a shot of amaretto over the ice then take the cola and pour it in to the glass and stir it together add the wedge of lemon on the rim of the glass and enjoy     almond liqueur    cola   lemon
2509,Hot Brandy Toddy, add the sugar to a coffee mug fill  with boiling water add brandy and stir garnish with a slice of lemon dust with nutmeg and serve     brandy   tsp tsp sugar    hot water
2510,Hot Brandy Flip, blend brandy egg and sugar syrup in a blender pour into a saucepan and heat pour into a whiskey sour glass and sprinkle freshground nutmeg on top     brandy   pinchs nutmeg   egg   tsp sugar syrup
2511,Hot Whiskey, pour the whiskey into a whiskey sour glass add cloves into the fresh lemon and place into the whiskey fill with hot water and dissolve in the sugar serve immediately     irish whiskey   slices lemon   cloves   tsp sugar  hot water
2512,Hot Chocolate Almond, pour the butterscotch schnapps amaretto and hot chocolate into a coffee mug and stir top with whipped cream and serve     butterscotch schnapps    almond liqueur    hot chocolate    whipped cream
2513,Hot Peppermint Chocolate, make hot chocolate preferably using water according to instructions mix in rumple minze and enjoy    cupss hot chocolate  peppermint liqueur
2514,Hot Irish 2, add cloves to the lemon pour into a heatproof goblet sweeten with white sugar to taste and serve     irish whiskey    hot water   pints lemon  cloves   tsp sugar
2515,Heated Cape Cod, pour both ingredients into a saucepan and heat gently pour into an oldfashioned glass and serve     vodka    cranberry juice
2516,Honeydew Martini, pour the vodka melon liqueur and triple sec into a cocktail shaker halffilled with cracked iceshake well and strain into a chilled cocktail glassgarnish with a twist of lemon and serve     vodka    melon liqueur    triple sec
2517,Happily Ever After, pour all ingredients into an oldfashioned glass stir and serve     peach schnapps    cranberry juice    ginger ale
2518,Hairy Berry, pour the jagermeister schnapps  peach schnapps and cranberry juice into a cocktail shaker halffilled with ice cubes shake well and strain into an oldfashioned glass top with up and serve     herbal liqueur    peach schnapps    cranberry juice   splashs lemonade
2519,Alto Parlarle, add sherbet and cointreau to a chilled white wine glass top with a cold italian dry sparkling wine and finally add a bit of grenadine on top     orange liqueur      red sparkling wine   dashs grenadine syrup    orange sherbet
2520,Hoffman House Martini, stir ingredients together with cracked ice in a mixing glass strain into a chilled cocktail glass garnish with an olive and serve     gin    dry vermouth   dashs orange bitters
2521,Hilgert Cocktail, pour vermouth gin maraschino grapefruit juice and bitters into a cocktail shaker halffilled with ice cubes shake well strain into a cocktail glass and serve    shots dry vermouth   shots gin   tsp maraschino liqueur   tsp grapefruit juice   dashs bitters
2522,Harry Denton Martini, shake and strain into a cocktail glass      gin    herbal liqueur
2523,Hazelnut Martini, combine ingredients with ice in a mixing glass strain into a chilled cocktail glass and serve     vodka   hazelnut liqueur
2524,Hazelnut Mudslide Cocktail,the hazelnut mudslide is based off the a very popular mudslide cocktail its like a chocolate milkshake for grown ups combine ingredients with ice in a cocktail shaker shake and strain into a chilled cocktail glass and serve     irish cream    hazelnut liqueur    vodka    coffee liqueur
2525,Harlem Nights Cocktail, fill a shaker with ice cubes add all ingredientsshake and strain into a chilled highball glass filled with ice cubesgarnish with a maraschino berry and orange     coconut rum    tequila    coffee liqueur   splash peach schnapps   splash pineapple juice   maraschino cherry   slice oranges
2526,Hot buttered rum,its a perfect drink for autumn or winter it belongs next to a nice fire or out on the deck on a crisp clear evening it would even work around a campfire whatever the setting a hot buttered rum makes you feel more cy put the cinnamon stick lemon peel and rum in a mug fill it with boiling waterfloat the butter on top then stir it in     dark rum   teaspoon butter   slice lemon  hot water  cinnamon stick
2527,Hot Totty Cocktail,"a hot toddy also sometimes referred to as a hot totty is quite the versatile drink while it is always served hot its ingredients as well as its uses vary  a hot toddy is the perfect drink to warm your bones when the weather is chilly
various other ingredients can also be added brown spices such as cloves or cinnamon citrus fruit and even butter have been known ingredients even hot water and warmed lemonade have been used to create a tasty toddy
hot toddy drinks have a history as being a cure for the flu and the common cold many would consume the warm beverage prior to going to bed when the weather was cold and wet in hopes of curing what ailed them or fighting off a new ailment however recent studies have shown that alcoholic beverages arent recommended to cure an illness and can actually cause dehydration heat the brandy until warmpour into a coffee mug and add a lemon wedge    cupbrandy   wedge lemon"
2528,Haymitchs Hooch cocktail,be sure to check out the rest of our hunger games cocktails  drinks combine tequila dry vermouth sweet vermouth lemon juice and italian amaro in a highball glassmix well and strain into your cocktail glasstop with ginger ale and stir gently with a bar spoongarnish with mint     silver tequila    dry vermouth    sweet vermouth    lemon juice    italian amaro    ginger ale  mint leaves
2529,Haymitch's Grassy Knoll Cocktail,be sure to check out the rest of our hunger games cocktails  drinks in a cocktail shaker muddle lemon grass ginger and sugar syrupadd vodka and iceshake and strain into your rocks glasstop with a splash of club soda and a splash of lemon juicegarnish with lemon grass     bison grass vodka   cubes lemon grass   cubes ginger    sugar syrup   dash lemon juice   splash club soda
2530,Amaretto Cruise, put everything into a blender with ice blend adding ice until smooth serve in a tall glass     almond liqueur    rum   peach schnapps    cranberry juice    cream    orange juice    sours
2531,Halloween Pumpkin Cooler,the worlds most awesome halloween beer cooler ever cut the top off your large pumpkin and gut it as you usually wouldwith a beer bottle as a template draw a circle for each of the beers on the out side of your pumpkincut each of the holes and put a beer in eachfill with dry ice and add a little water for a smokey effect    large pumpkin   beers  dry ice
2532,Han Solo Cocktail,dont forget to check out the rest of our star wars cocktails in a highball glass with icebuild drink over ice in order and top with  whiskey     vodka    gin    triple sec    rum    bourbon whiskey    sweet and sour     whiskey
2533,Harrison Ford Cocktail,dont forget to check out the rest of our star wars cocktails add ingredients to your rocks glass over ice     coffee liqueur    irish cream    vodka
2534,Holy Water Cocktail #2,if you like this you might also like the holy water cocktail another cocktail with the same name add vodka triple sec light rum into a rocks glass with icetop with tonic water and a dash of grenadine     vodka    triple sec    light rum   dash grenadine syrup  top with tonic water
2535,Holy Water Cocktail,if you like this cocktail you might also like the holy water  cocktail with the same name add blue curacao and raspberry liqueur to your cocktail glasstop with lemonade sprite     blue curacao liqueur    raspberry liqueur    lemonade  sprite
2536,Hear Me Roar Cocktail,support the lannister family with this mango treat dont forget to check out our other game of thrones cocktails garnishpour the water syrup and sugar into a small saucepan or microwaveheat on low heat until the mixture turns into a thick caramel do not mixput the edges of the glass in the syrup take it out holding the glass upside down for a moment and then put it aside and let it completely solidify cocktail    grenadine syrup    mango puree    white rum
2537,Hive Five Mojito, build scotch lime juice mint leaves and honey and muddle the mintmake sure the honey has combined and softenedadd crushed ice and mix gentlypour into your cocktail glass and top with ginger ale     scotch whiskey    lime juice   mint leaves    honey  giner ale
2538,HARD GINGER ALE, add vanilla whisky to an icefilled highball glassadd ginger ale and stir     vanilla whisky    ginger ale
2539,Mason Jar Iced Irish Coffee,spring is officially iced coffee season but its also the perfect time for cocktails  so combine the two and make yourself a delicious iced irish coffee optional chocolate syrup mint whipped creamcombine coffee simple syrup cream liqueur and whiskey in a cocktail shaker with ice shake vigorously then pour into mason jar full of ice pour heavy cream into mason jar and stir to combine     coffee   tbsp simple syrup  1½  irish cream liqueur    irish whiskey    heavy cream
2540,Seamstress Irish Coffee,whats not to love exact proportions and types of whiskey sugar and cream preparations can vary slightly but when done right its delicious in a heatproof georgian glass add irish whiskey demerara simple syrup and coffeeleave room at the top for the heavy creamstir gentlyfloat a thin layer of cream on topgarnish with a healthy grating of fresh cinnamon      irish whiskey    demerara syrup     hot coffee    cream  float
2541,Amaretto Kirsch, shake ingredients with ice and strain into glass     almond liqueur    cherry juice
2542,Irish Vanilla Coffee, pour into a coffee mug   of coffee add   each of baileys irish cream and absolut vanilla vodka stir lightly and top if desired whipped cream     irish cream    vanilla vodka    coffee      whipped cream
2543,Irish Trash Can Cocktail,the irish trash can is a popular green drink especially around st patricks day this cocktail is a bright green cocktail made with a large mix of liquor and red bull the blue curacao and the energy drink are the secret to turning the drink green it sounds like it wont taste any good but its actually quite drinkable the irish trash can is a modern classicthe original trash can drinks came into being at college parties everyone brought whatever liquor they had lying around and added it to a large container such as a plastic bin or small garbage can in your cocktail glass add blue curacao then some iceadd vodka and gin then rum and triple sec then peach schnappsadd ice and turn a can of red bull upside down in the glass     blue curacao liqueur    vodka    rum    gin    triple sec    peach schnapps  energy soda  red bull
2544,Italian Sunrise 2, blend until slushy pour and enjoy     herbal liqueur    banana liqueur    triple sec   cups cream  orange juice  ice
2545,Isle of Pines, pour over ice cubes in a large highball glass stir and serve     white rum    grapefruit juice
2546,Italian Ice, shake well and serve with crushed ice     vodka    blue curacao liqueur    raspberry liqueur    sours    lemonade
2547,The Incredible Hulk, add captain morgan to glass add sugar add mountain dew until the mix turns green     spiced rum   tbsp sugar   litres citrus soda
2548,Indifferent Miss, pour the rum lime juice and simple syrup into a highball glass filled with ice cubes stir well top with club soda stir gently and serve     spiced rum    lime juice   tsp sugar syrup    club soda
2549,Island Toy, pour all ingredients into a highball glass filled with ice cubes stir well and serve     spiced rum    peach liqueur    lime juice    apple juice
2550,Irish Wake, pour orange juice over ice into a collins glass add rums and stir then add blue curacao and top with a red and a green cherry     gold rum    op rum    blue curacao liqueur    orange juice
2551,Amazon Street Lemonade, fill glass with ice add   vodka and fill the glass with lemonade   ice    vodka  lemonade
2552,Irish Cactus, pour irish cream and tequila over ice and stir     irish cream    tequila
2553,Italian Stallion 2, pour sambuca into a cocktail shaker filled with ice add absolut citron and orange juice and shake well strain into a chilled cocktailmartini glass garnish with a twist of orange peel to rim the glass with lemon and sugar is optional serve     sambuca    orange juice    citrus vodka
2554,Italian Bulldog, shake galliano herbal liqueur kahlua coffee liqueur and milk together in a cocktail shaker strain into a chilled cocktail glass add cocacola and serve     herbal liqueur    coffee liqueur    milk   splashs cola
2555,Iron Bar Sling, shake strain into an icefilled highball glass and serve     gin    cherry brandy    peach liqueur    orange juice    lime juice    apple juice    grenadine syrup
2556,Irish Dawg, put vodka in first then add the baileys and cream lightly stir and serve     vodka    irish cream    light cream
2557,Irish Orgasm, mix ingredients and pour over ice     butterscotch schnapps    cream    orange juice
2558,Is Paris Burning, stirred not shaken rocks acceptable fresh raspberry optional     brandy    raspberry liqueur
2559,Irish Griep, fill an oldfashioned glass with ice add blue curacao and sour mix top off with cola stir until a greenishblue mixture is obtained     blue curacao liqueur    sours  cola  ice
2560,Irish Lady, almost fill a champagne flute with champagne add midori and orange juice and serve     melon liqueur    champagne    orange juice
2561,Irish Curdling Cow, pour irish cream vodka and bourbon into a highball glass add some ice and mix in the orange juice     irish cream    bourbon whiskey    vodka    orange juice
2562,Amarita, pour amaretto and margarita mix over ice stir well and serve     almond liqueur    margarita mix  ice cubes
2563,Irish Chocolate Milk, put a few ice cubes into a highball glass add shot of baileys and the halfshot of creme de cacao stir together before adding the milk then add the rest     irish cream    dark creme de cacao    milk
2564,Irish Cow, use a small saucepan to heat the ingredients and serve in a coffee mug top with nutmeg if desired     irish cream    milk
2565,Irish Blackthorn, pour the irish whiskey vermouth licorice liqueur and bitters into an oldfashioned glass halffilled with ice cubes stir well and serve     irish whiskey    sweet vermouth   dashs licorice liqueur   dashs bitters
2566,Irish Whiskey Cocktail, stir all ingredients together in a mixing glass halffilled with cracked ice strain into a cocktail glass garnish the glass with an olive and serve     irish whiskey   tsp triple sec   tsp licorice liqueur   tsp maraschino liqueur   dashs bitters
2567,Irish Mint, pour the milk first and then the irish cream  the parts are only guesses i tend to go by color you want a creamy beige that has only a slight hint of alcohol add just enough creme de menthe so as to turn the drink slightly green stir it up and serve    parts irish cream   parts green creme de menthe   parts milk
2568,Invisible Man, add triple sec brandy gin and orange juice to a highball glass filled with ice fill with ginger ale     gin    brandy   triple sec    ginger ale   dashs orange juice
2569,Irish Rickey, pour irish whiskey and juice of lime into a highball glass over ice cubes fill with carbonated water and stir add the wedge of lime and serve     irish whiskey   juice of lime   lime  soda water
2570,Irish Spring, pour all ingredients except orange slice and cherry into a collins glass over ice cubes garnish with the slice of orange add the cherry on top and serve     irish whiskey    peach brandy    orange juice    sours   slices oranges   cherry
2571,Irish Pride, layer in a highball glass and mix     green creme de menthe    almond liqueur    lemon juice
